"Name","Category","Price","Currency","Description","Available"
"Neem Face Wash","Health & Beauty",5.99,"CAD","100ml","1"
"Neem Oil","Health & Beauty",3.99,"CAD","100 ml","1"
"Noorani Hair Color (Black Henna)","Health & Beauty",5.99,"CAD","Black Henna","1"
"Noorani Hair Color (Brown Henna)","Health & Beauty",5.99,"CAD","Brown Henna","1"
"Noorani Hair Color (Chestnut Henna)","Health & Beauty",5.99,"CAD","Chestnut Henna","1"
"Zarqa Henna for Hair","Health & Beauty",3.99,"CAD","Black","1"
"Belly sauce pan","Household Items",19.99,"CAD","Household Item","1"
"Big Boss","Household Items",27.99,"CAD","Full S.S","1"
"Casserole with Glass Lid","Household Items",24.99,"CAD","Non-Stick","1"
"Disco Hari with Sora Dhakna","Household Items",27.99,"CAD","Household item","1"
"Food Pot Leisure (Half S S)","Household Items",9.99,"CAD","500ml","1"
"Frypan","Household Items",14.99,"CAD","Bakelite Handle","1"
"Frypan with Lid","Household Items",24.99,"CAD","Non-Stick","1"
"Frypan without Lid","Household Items",24.99,"CAD","Non-stick","1"
"Galaxy Full Steel","Household Items",38.99,"CAD","6000ml","1"
"Galaxy Full Steel (M.L)","Household Items",38.99,"CAD","In-store only","1"
"Karai Metal Halnde","Household Items",38.99,"CAD","30 cm","1"
"Karai with GL (Bakelite Handle)","Household Items",27.99,"CAD","22 cm","1"
"Karai with Glass Lid","Household Items",34.99,"CAD","Non-Stick","1"
"Kiam (Classic)","Household Items",39.99,"CAD","Pressure cooker","1"
"Kiam Queen  (White)","Household Items",34.99,"CAD","Pressure cooker","1"
"Lunch Pot","Household Items",24.99,"CAD","4 Bati (pcs)","1"
"Lunch Pot","Household Items",19.99,"CAD","Monalisa","1"
"Milk Pan with Lid","Household Items",19.99,"CAD","Household Item","1"
"Multi Pan (Bakelite Handle)","Household Items",49.99,"CAD","34 cm","1"
"Multipan with Glass Lid","Household Items",34.99,"CAD","Non-Stick","1"
"N/S Milkpan","Household Items",21.99,"CAD","Non-Stick","1"
"Omega ( Inside S.S)","Household Items",27.99,"CAD","2700ml","1"
"One Handle Karai with Glass Lid","Household Items",34.99,"CAD","Non-stick","1"
"Pitha Hari (with Khura)","Household Items",14.99,"CAD","No-9","1"
"Rice Hari with Sora  Dhakna","Household Items",29.99,"CAD","No-13","1"
"Ruti Towa","Household Items",16.99,"CAD","25 cm","1"
"Sauce Pan","Household Items",19.99,"CAD","Bakelite Handle","1"
"Sock Pot","Household Items",27.99,"CAD","Household Item","1"
"Torkari Hari with Sora Dhakna","Household Items",34.99,"CAD","Household Item","1"
"Wok pan","Household Items",38.99,"CAD","30 cm","1"
"Aloo Puri","Kazi Farm",3.99,"CAD","450g","1"
"Dal Puri","Kazi Farm",3.99,"CAD","450g","0"
"Plain Paratha","Kazi Farm",8.99,"CAD","Family Packet","1"
"Spring Roll Pastry","Kazi Farm",3.99,"CAD","400gm","1"
"Vegetable Samosa","Kazi Farm",3.99,"CAD","400g","0"
"Vegetable Singara","Kazi Farm",3.99,"CAD","Kazi Farms Kitchen","1"
"Vegetable Spring Roll","Kazi Farm",3.99,"CAD","400gm","1"
