"single_product_name","single_product_category","single_product_price","single_product_currency","single_product_discription","single_product_availability"
"Chicken Breast Boneless","Meat - Chicken","7.99","CAD","Per lbs","yes"
"Chicken Drumstick As Is","Meat - Chicken","2.99","CAD","Per lbs","yes"
"Chicken Kima Frozen (2 Lbs)","Meat - Chicken","13.99","CAD","Per Lb $6.49","yes"
"Chicken Leg Quarter As Is","Meat - Chicken","2.75","CAD","Per lbs","yes"
"Chicken Leg Quarter Skin Off & Cut","Meat - Chicken","2.99","CAD","Per lbs","yes"
"Chicken Thigh Boneless","Meat - Chicken","5.99","CAD","Per lbs","yes"
"Chicken Whole As Is","Meat - Chicken","12.99","CAD","3-3.50 Lbs","yes"
"Chicken Whole Skin Off & Cut","Meat - Chicken","13.99","CAD","3-3.50 Lbs","yes"
"Chicken Wings (2 Lbs.)","Meat - Chicken","11.99","CAD","Each lbs $4.99","yes"
"Halal Duck Burn","Meat - Chicken","37.99","CAD","Each","yes"
"Small Hard Chicken 1.5-2 Lbs","Meat - Chicken","6.99","CAD","Each","yes"
"Beef Boneless Pasanda","Meat -Beef","7.49","CAD","Per lbs","yes"
"Beef Boneless Stew","Meat -Beef","7.25","CAD","Per lbs","yes"
"Beef Brain","Meat -Beef",NA,NA,"In Store Only(Till Supplies Last)","yes"
"Beef Feet (Paya) Frozen","Meat -Beef","15.99","CAD","Minimam 4Lbs","yes"
"Beef Liver (per lb)","Meat -Beef",NA,NA,"In Store Only (Till Supplies Last)","yes"
"Beef Nihari Shank With Bone 4Lbs","Meat -Beef","23.96","CAD","Per Lbs $5.99","yes"
"Beef T-Bone 2Lbs","Meat -Beef","15.99","CAD","Per Lbs $7.27","yes"
"Beef With Bone (Mix)","Meat -Beef","5.49","CAD","Get a Special Rate for 10 lb Only 49.99 CAD","yes"
"Ground Beef Ex.Lean","Meat -Beef","7.49","CAD","Per lbs","yes"
"Ground Beef Lean","Meat -Beef","5.99","CAD","Per lbs","yes"
